//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2024
//--  Time: 18:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using formula: 8.3470 + (adcValue * 0.00795792) 
//-- Table Identifier:002

ADC 	Value 	MSVal 	volts
0	8.35	83 	0.000
1	8.35	84 	0.005
2	8.36	84 	0.010
3	8.37	84 	0.015
4	8.38	84 	0.020
5	8.39	84 	0.024
6	8.39	84 	0.029
7	8.40	84 	0.034
8	8.41	84 	0.039
9	8.42	84 	0.044
10	8.43	84 	0.049
11	8.43	84 	0.054
12	8.44	84 	0.059
13	8.45	85 	0.063
14	8.46	85 	0.068
15	8.47	85 	0.073
16	8.47	85 	0.078
17	8.48	85 	0.083
18	8.49	85 	0.088
19	8.50	85 	0.093
20	8.51	85 	0.098
21	8.51	85 	0.103
22	8.52	85 	0.107
23	8.53	85 	0.112
24	8.54	85 	0.117
25	8.55	85 	0.122
26	8.55	86 	0.127
27	8.56	86 	0.132
28	8.57	86 	0.137
29	8.58	86 	0.142
30	8.59	86 	0.146
31	8.59	86 	0.151
32	8.60	86 	0.156
33	8.61	86 	0.161
34	8.62	86 	0.166
35	8.63	86 	0.171
36	8.63	86 	0.176
37	8.64	86 	0.181
38	8.65	86 	0.186
39	8.66	87 	0.190
40	8.67	87 	0.195
41	8.67	87 	0.200
42	8.68	87 	0.205
43	8.69	87 	0.210
44	8.70	87 	0.215
45	8.71	87 	0.220
46	8.71	87 	0.225
47	8.72	87 	0.229
48	8.73	87 	0.234
49	8.74	87 	0.239
50	8.74	87 	0.244
51	8.75	88 	0.249
52	8.76	88 	0.254
53	8.77	88 	0.259
54	8.78	88 	0.264
55	8.78	88 	0.269
56	8.79	88 	0.273
57	8.80	88 	0.278
58	8.81	88 	0.283
59	8.82	88 	0.288
60	8.82	88 	0.293
61	8.83	88 	0.298
62	8.84	88 	0.303
63	8.85	88 	0.308
64	8.86	89 	0.313
65	8.86	89 	0.317
66	8.87	89 	0.322
67	8.88	89 	0.327
68	8.89	89 	0.332
69	8.90	89 	0.337
70	8.90	89 	0.342
71	8.91	89 	0.347
72	8.92	89 	0.352
73	8.93	89 	0.356
74	8.94	89 	0.361
75	8.94	89 	0.366
76	8.95	90 	0.371
77	8.96	90 	0.376
78	8.97	90 	0.381
79	8.98	90 	0.386
80	8.98	90 	0.391
81	8.99	90 	0.396
82	9.00	90 	0.400
83	9.01	90 	0.405
84	9.02	90 	0.410
85	9.02	90 	0.415
86	9.03	90 	0.420
87	9.04	90 	0.425
88	9.05	90 	0.430
89	9.06	91 	0.435
90	9.06	91 	0.439
91	9.07	91 	0.444
