//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-9-2024
//--  Time: 7:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 1000 Ohms
//--    Temperature1: -40(C), 	Resistance 1: 45313 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 130(C), 	Resistance 3: 89 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.156
2	286.52	2865 	0.313
3	251.71	2517 	0.469
4	227.94	2279 	0.625
5	209.83	2098 	0.781
6	195.11	1951 	0.938
7	182.63	1826 	1.094
8	171.71	1717 	1.250
9	161.94	1619 	1.406
10	153.03	1530 	1.563
11	144.78	1448 	1.719
12	137.05	1370 	1.875
13	129.70	1297 	2.031
14	122.67	1227 	2.188
15	115.86	1159 	2.344
16	109.22	1092 	2.500
17	102.68	1027 	2.656
18	96.18	962 	2.813
19	89.68	897 	2.969
20	83.10	831 	3.125
21	76.39	764 	3.281
22	69.46	695 	3.438
23	62.22	622 	3.594
24	54.55	545 	3.750
25	46.27	463 	3.906
26	37.12	371 	4.063
27	26.69	267 	4.219
28	14.21	142 	4.375
29	-1.96	-20 	4.531
30	-26.81	-268 	4.688
31	70.00	700 	4.844
